Method,Guidance,CR,SR,AR,Safety
ccg-p-ode,2.0,34.3,61.0,0.9304,0.657
ccg-p-ode,4.0,17.1,74.3,0.9116,0.829
ccg-p-ode,6.0,10.5,72.4,0.8563,0.895
ccg-p-ode,7.0,12.4,69.5,0.8306,0.876
ccg-d-ode,0.2,60.0,35.2,0.941,0.4
ccg-d-ode,0.6,41.0,52.4,0.9209,0.5900000000000001
ccg-d-ode,1.7,18.1,65.7,0.8575,0.819
ccg-d-ode,2.5,15.2,63.8,0.8267,0.848
FP,0.5,49.0,47.0,0.94,0.51
FP,0.7,40.0,49.0,0.8998,0.6
FP,1.0,25.0,56.0,0.8125,0.75
FP,1.2,16.0,53.0,0.719,0.84
DP,10.0,42.1,57.9,0.9335,0.579
DP,15.0,28.7,58.5,0.8733,0.7130000000000001
DP,20.0,24.5,47.9,0.7628,0.755
STEG-ODE,3.0,39.0,53.3,0.9312,0.61
STEG-ODE,5.0,23.8,64.8,0.8813,0.762
STEG-ODE,7.0,11.4,66.7,0.8328,0.886
